tier,origin,repo_path_or_url,title,words,theme,proposed_page,first_published,authors,source_pdf,source_linkedin,publishability,why_it_matters
0,__Send repo,team/humans/dinis_cruz/briefs/02/23/part-2/v0.6.14__vision__content-trust-infrastructure-pki-signed-facts.md,Content Trust Infrastructure - PKI-Signed Facts,1461,trust · identity,/provenance/the-citation-chain/,2026-02-23,Dinis Cruz,,,clean,THE ORIGIN DOC. The 60/25/10/5 split. The correction propagates with the same force as the original claim.
0,__Send repo,team/humans/dinis_cruz/briefs/02/23/part-3/v0.6.14__architecture__fractal-document-signing-pki-paragraphs.md,Fractal Document Signing - PKI-Signed Paragraphs,1598,rights · provenance,/rights/the-danger-is-in-the-amendments/,2026-02-23,Dinis Cruz,,,clean,The danger is in the amendments - that is where problems hide because attention has dropped.
0,__Send repo,team/humans/dinis_cruz/briefs/02/23/part-4/v0.6.14__architecture__signed-creative-commons-legal-enforcement.md,Signed Creative Commons - Legal Enforcement,2230,rights,/rights/cc-signed/,2026-02-24,Dinis Cruz,,,clean,CC-Signed. Strongest content-rights doc; explicit target list incl. news outlets and AI training pipelines.
0,__Send repo,team/humans/dinis_cruz/briefs/04/13/v0.20.50__dev-brief__news-infographic-sonar-api.md,News Report Tool: Evidence-Backed Infographics,895,workflow,/infographics/,2026-04-10,Dinis Cruz,,,clean,4-stage pipeline where every claim traces to a source URL.
0,__Send repo,team/humans/dinis_cruz/briefs/05/12/v0.27.38__strategy-brief__ai-powered-news-organisation-principles.md,AI-Powered News Organisation: Design Principles for 2026 Journalism,2396,workflow · trust,/newsroom/principles/,2026-05-12,Dinis Cruz,,,clean,The flagship doctrine. Eight principles. Not an effort to replace journalists with agents - the opposite.
0,__Send repo,team/humans/dinis_cruz/briefs/05/12/v0.27.38__dev-brief__newsroom-layout-visible-editorial-process.md,Newsroom Layout: Visible Editorial Process as Part of the Publication,2187,provenance,/provenance/a-worked-story/,2026-05-12,Dinis Cruz,,,clean,Provenance is the product. The worked GBP8.40 / 6h23m story page. The single most persuasive page available.
0,__Send repo,team/humans/dinis_cruz/briefs/06/13/vault-platform-and-commercialisation/v0.33.26__arch-brief__sg-send-agentic-content-website-provenance-decision-graph-research-publish.md,An Agentic Content Website With Provenance,2346,provenance · workflow,/provenance/the-decision-graph/,2026-06-13,Dinis Cruz,,,clean,"Most articles do not provide evidence, they provide a link. A decision should never be a yes or no."
0,__Send repo,team/humans/dinis_cruz/briefs/07/04/credibility-and-feedback/v0.33.42__arch-brief__sg-send-credibility-calibration-time-learning-track-record-feedback-loop-decouple-from-power.md,"Time, Learning, and Credibility",1463,trust,/economics/credibility-over-time/,2026-07-04,Dinis Cruz,,,clean,Decouples the weight of a statement from the rank of the speaker.
0,__Send repo,team/humans/dinis_cruz/briefs/07/05/evidence-economy/v0.33.44__strategy-brief__sg-send-evidence-packs-as-a-service-agentic-api-sg-vaults-skills-model-on-demand-micropayments.md,Evidence Packs As A Service,1967,monetisation,/thesis/sell-the-graph/,2026-07-05,Dinis Cruz,,,clean - strip Risk Mandate framing,"Sell the graph, not the paragraph. Semantic knowledge graphs that they still own."
0,__Send repo,team/humans/dinis_cruz/briefs/07/05/evidence-economy/v0.33.44__strategy-brief__sg-send-news-backed-evidence-vaults-grounding-risk-graphs-trust-as-a-service-author-micropayments.md,News-Backed Evidence Vaults,1888,monetisation · trust,/economics/trust-as-a-service/,2026-07-05,Dinis Cruz,,,clean - INVERT framing,"The only doc that names 'the future-of-news work' as a stack. Risk Mandate is a customer, not the parent."
0,__Send repo,team/humans/dinis_cruz/briefs/07/05/evidence-economy/v0.33.44__strategy-brief__sg-send-evidence-economy-force-of-proof-fact-certification-two-prices-evidence-based-revenue-models.md,The Force of Proof: An Evidence Economy,1980,monetisation,/economics/trust-as-a-service/,2026-07-05,Dinis Cruz,,,clean,The fact-certifier as a distinct payable warranted role. Trade on facts rather than attention.
0,__Send repo,team/humans/dinis_cruz/briefs/07/31/projects-budgets-and-evidence/v0.33.54__strategy-brief__sg-send-paying-the-fact-creator-contextual-validation-not-truth-micropayments-for-correct-use.md,"Paying The Fact Creator: Contextual Validation, Not Truth",3382,monetisation · trust,/corrections/the-claim-that-would-not-die/,2026-07-31,Dinis Cruz,,,clean,"THE 10,000-HOURS STORY fully worked and sourced. Journalism named as plausibly the larger market."
0,__Send repo,team/humans/dinis_cruz/briefs/07/31/canonical-act-build/v0.33.54__research-brief__sg-send-no-canonical-ai-act-consolidated-version-absent-article-10-probe-three-states-of-staleness.md,No Canonical AI Act: Three States Of Staleness,3072,provenance,/corrections/staleness-in-the-wild/,2026-07-31,Dinis Cruz,,,clean,"A ready-made news story about news. Consolidated text dated 2024, incorporating nothing."
0,__Send repo,team/humans/dinis_cruz/briefs/08/06/payments-platform/v0.33.56__research-brief__sg-send-micropayments-stablecoins-x402-hyperscalers-shipped-it-sovereignty-is-awkward.md,"Micropayments, Stablecoins, x402",3644,monetisation,/economics/rails/,2026-08-06,Dinis Cruz,,,clean,"The rail that makes per-article payment real. 200ms, zero protocol fees. And the GBP1-to-59p wall."
0,__Send repo,team/humans/dinis_cruz/briefs/08/09/graphing-text/v0.33.57__arch-brief__sg-send-fact-does-not-exist-in-a-vacuum-agenda-is-context-corrections-must-propagate.md,A Fact Does Not Exist In A Vacuum,3352,provenance · graphs,/corrections/how-a-graph-answers-it/,2026-08-09,Dinis Cruz,,,clean,The correction-propagation argument. Includes the self-critique: the graph has an agenda too. Publish that.
0,__Send repo,team/humans/dinis_cruz/briefs/08/09/graphing-text/v0.33.57__arch-brief__sg-send-evidence-packs-attach-never-mutate-weight-by-independence-not-count.md,Evidence Packs: Attach Never Mutate,2991,provenance,/thesis/independence-not-count/,2026-08-09,Dinis Cruz,,,clean,More evidence does not mean more confidence unless the evidence is independent.
0,__Send repo,team/humans/dinis_cruz/briefs/08/09/graphing-text/v0.33.57__strategy-brief__sg-send-refactoring-meaning-decompilation-not-compilation-author-is-the-arbiter.md,Refactoring Meaning: The Author Is The Arbiter,3558,meaning,/thesis/the-author-is-the-oracle/,2026-08-09,Dinis Cruz,,,clean,Disagreement is the product. A disputed reading tells the author something new about their own text.
0,__Send repo,team/humans/dinis_cruz/briefs/08/09/graphing-text/v0.33.57__arch-brief__sg-send-enrichment-and-shared-anchors-research-paid-once-wikidata-is-the-concept-layer.md,Enrichment And Shared Anchors,3590,monetisation · graphs,/economics/,2026-08-09,Dinis Cruz,,,clean,Research is expensive to produce and almost free to read. Wikidata as the concept layer.
1,docs.diniscruz.ai,https://docs.diniscruz.ai/research/the-future-of-news.html,The Future of news,110,index,/library/,,,,,PUBLISHED - CC0 at source; carries provenance block per 02,Adjacent / index page.
1,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/05/27/lets__load-extract-transform-save__a-deterministic-and-debuggable-data-pipeline_architecture.html,"LETS (Load, Extract, Transform, Save): A Deterministic and Debuggable Data Pipeline Architecture",9362,method,/library/,2025-05-27,"Dinis Cruz, ChatGPT Deep Research",https://files.diniscruz.ai/github/pdf/2025/05/27/lets__load-extract-transform-save__a-deterministic-and-debuggable-data-pipeline_architecture.pdf,,PUBLISHED - CC0 at source; carries provenance block per 02,Adjacent / index page.
1,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/06/13/technical-briefing-web-content-filtering-project.html,Technical Briefing: Web Content Filtering Project,10204,workflow,/library/,2025-06-13,"Dinis Cruz, ChatGPT Deep Research",https://files.diniscruz.ai/github/pdf/2025/06/13/technical-briefing-web-content-filtering-project.pdf,https://www.linkedin.com/posts/diniscruz_technical-briefing-web-content-filtering-activity-7339265216355921921-R6Zc,PUBLISHED - CC0 at source; carries provenance block per 02,Adjacent / index page.
1,__Send repo,team/roles/journalist/site/_pages/transparency.md,"Transparency, not trust",500,other,/about/participant.html,2026-02-01,Dinis Cruz,,,product-specific,Privacy policies are promises. Transparency panels are proof.
1,__Send repo,team/roles/journalist/REFERENCE__from-issues-fs.md,The Journalist Role: Capturing the Now,4488,workflow,/newsroom/the-craft/,2026-02-09,Dinis Cruz,,,"LICENCE CHECK - Issues-FS origin, no CC BY footer","Second stories (Three Mile Island, Equifax), five Ws, editorial independence. Genuinely publishable essay."
1,__Send repo,team/roles/journalist/ROLE.md,Role: Journalist,2256,workflow,/newsroom/the-craft/,2026-02-11,Dinis Cruz,,,product-specific framing,"Verify before writing; cite your sources; translate, do not simplify away."
1,__Send repo,team/humans/dinis_cruz/briefs/03/12/v0.13.30__brief__five-sentence-privacy-policy.md,The Five-Sentence Privacy Policy,1582,other,/about/,2026-03-12,Dinis Cruz,,,clean,"We do not sell attention. The site's own policy page, pre-written."
1,__Send repo,team/humans/dinis_cruz/briefs/05/12/v0.27.38__strategy-brief__portuguese-newsroom-workflow.md,Portuguese Newsroom Workflow,2508,workflow · graphs,/newsroom/the-roles/,2026-05-12,Dinis Cruz,,,de-scope Portugal + CBR,"11 agent roles, the daily clock, >=200-entity graph. Humans are the bar; agents are the volume."
1,__Send repo,team/humans/dinis_cruz/briefs/05/12/v0.27.38__strategy-brief__portugal-bilingual-genai-publication.md,Portugal Bilingual GenAI Publication,1909,workflow,/newsroom/,2026-05-12,Dinis Cruz,,,generalise,First concrete publication instance; bilingual with a knowledge-graph backbone.
1,__Send repo,team/humans/dinis_cruz/briefs/05/17/v0.27.55__dev-brief__articles-as-vaults-publishing-workflow.md,Articles As Vaults: Publishing Workflow,3223,provenance · workflow,/provenance/articles-as-vaults/,2026-05-17,Dinis Cruz,,,light MyFeeds de-naming,"Each article a vault containing text, evidence, graph, sources, translations and every prompt and decision."
1,__Send repo,team/humans/dinis_cruz/briefs/05/30/v0.31.9__strategy-brief__sg-send-library-as-shop-front-multi-agent-content-workflow.md,The Library As The Shop Front,2439,workflow,/newsroom/departments/,2026-05-30,Dinis Cruz,,,clean,Default-to-publish; multi-agent content workflow.
1,__Send repo,team/humans/dinis_cruz/briefs/06/10/network-intelligence/v0.33.16__arch-brief__sg-send-data-source-mapping-agentic-research-workflow-provenance.md,Mapping The Data Sources,2350,workflow,/provenance/,2026-06-10,Dinis Cruz,,,clean,Mandatory provenance on every datum. No-scraping posture keeps the method replicable.
1,__Send repo,team/humans/dinis_cruz/briefs/06/30/partners-market-and-library/v0.33.38__strategy-brief__sg-send-riskmandate-library-librarian-agent-vault-corpus-ontology-per-article-storytelling.md,The Risk Mandate Library,1666,workflow,/newsroom/departments/,2026-06-30,Dinis Cruz,,,strip Risk Mandate framing,"Each article is its own world, its own ontology and taxonomy."
2,__Send repo,team/humans/dinis_cruz/briefs/05/17/v0.27.55__arch-brief__myfeeds-website-rebuild-three-primitives.md,MyFeeds Website Rebuild: Three Primitives,3495,workflow,CITE sgit.ai,2026-05-17,Dinis Cruz,,,belongs to sgit.ai,"Publishing mechanics are sgit's story, not news's."
2,__Send repo,team/humans/dinis_cruz/briefs/05/31/v0.31.7__arch-brief__sg-send-agent-controlled-websites-website-vault-ci.md,Agent-Controlled Websites: Website Vault and Vault CI,2445,workflow,CITE sgit.ai,2026-05-31,Dinis Cruz,,,belongs to sgit.ai,Deployment substrate.
2,__Send repo,team/humans/dinis_cruz/briefs/06/28/ontology-and-definitions/v0.33.36__arch-brief__sg-send-grounding-ladder-fact-evidence-measure-vulnerability-risk-definitions.md,The Grounding Ladder,2325,graphs · trust,CITE graphs.sgit.ai,2026-06-28,Dinis Cruz,,,belongs to graphs.sgit.ai,"The ontology a news graph plugs into. Cite, do not restate."
3,__Send repo,team/town-planner/roles/librarian/reviews/02/21/v0.5.8__addendum__[redacted]-website-review.md,[redacted] Website Review,1579,monetisation,DO-NOT-PUBLISH,2026-02-21,Dinis Cruz,,,INTERNAL ONLY,Live product internals; investor-facing.
3,__Send repo,team/humans/dinis_cruz/briefs/05/17/v0.27.55__strategy-brief__myfeeds-b2b-research-briefings-as-evidence-packs (1).md,MyFeeds B2B Research Briefings,3421,monetisation,DO-NOT-PUBLISH,2026-05-17,Dinis Cruz,,,INTERNAL ONLY,"Real company, full B2B price list [redacted], legal-entity to-do, editorial-independence discussion."
3,__Send repo,team/humans/dinis_cruz/briefs/05/17/v0.27.55__strategy-brief__[redacted]-research-vault-programme (1).md,[a named VC — redacted, see PUBLIC.md] Research Vault Programme,3473,workflow,DO-NOT-PUBLISH,2026-05-17,Dinis Cruz,,,INTERNAL ONLY,Names a real VC and a real planned meeting.
3,__Send repo,library/docs/_to_process/secure-send-strategic-opportunities.md,Journalism Vertical: source protection (section 16.3),7317,rights · identity,HOLD - SAFETY,undated,Dinis Cruz,,,design-label or omit,SecureDrop-style source protection. Publishing an unbuilt protection as a claim endangers a real source.
LICENCE,,This file is released under the Creative Commons Attribution 4.0 International licence (CC BY 4.0).,,,,,,,,,,
